Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Class
9,8,7,0,4,2,1,2,1,9,Party1
1,4,3,8,7,8,8,0,0,0,Party2
0,1,0,3,1,1,7,8,10,10,Party3
10,8,8,0,7,6,6,4,0,1,Left
10,10,9,5,6,1,4,7,5,3,Left
9,9,8,5,1,3,6,2,2,6,Left
10,7,8,0,5,6,6,5,4,5,Left
8,9,7,6,5,0,3,7,6,2,Left
9,10,10,1,4,0,0,7,3,5,Left
10,9,8,6,3,4,1,7,7,4,Left
7,9,9,1,1,5,4,6,3,4,Left
7,9,9,7,7,3,0,1,6,2,Left
9,8,10,2,3,5,7,5,1,7,Left
10,7,10,7,4,6,0,6,1,3,Left
10,9,7,6,1,0,3,1,5,7,Left
7,10,7,3,1,5,3,3,5,4,Left
8,7,8,6,1,2,3,3,3,1,Left
7,10,7,4,6,5,5,3,5,2,Left
8,7,10,1,3,2,6,0,4,4,Left
8,10,9,0,1,6,2,4,2,4,Left
7,9,10,6,0,5,0,3,7,0,Left
9,8,7,0,1,2,0,7,5,2,Left
8,8,8,2,2,1,3,4,3,5,Left
7,10,10,0,5,6,7,5,7,0,Left
6,6,4,8,9,9,9,6,4,5,Center
7,5,2,9,8,9,10,0,6,5,Center
2,4,6,10,8,8,9,0,1,1,Center
5,5,1,10,9,8,8,7,1,4,Center
0,4,3,10,9,9,8,5,4,7,Center
3,7,7,10,8,8,9,5,0,0,Center
7,0,4,8,8,8,10,0,5,5,Center
3,3,4,10,9,8,9,7,2,3,Center
1,4,0,9,10,10,8,7,7,3,Center
3,2,6,9,8,8,10,7,4,3,Center
1,5,6,8,8,9,9,1,1,2,Center
7,1,2,9,8,10,9,4,5,0,Center
0,5,5,10,9,8,9,6,1,2,Center
4,0,7,9,10,9,8,3,1,5,Center
7,3,5,8,8,10,9,4,0,7,Center
0,1,6,8,10,8,10,0,1,0,Center
1,0,1,8,9,9,9,0,6,4,Center
2,0,5,10,10,10,10,6,7,4,Center
5,5,3,9,8,9,10,7,7,3,Center
7,4,5,10,8,10,8,3,1,6,Center
0,1,4,4,7,5,6,9,7,8,Right
6,5,4,6,1,1,3,7,7,10,Right
6,2,6,1,5,2,4,10,8,10,Right
4,4,0,3,1,7,1,10,10,7,Right
1,1,6,1,6,2,6,8,10,10,Right
5,1,7,4,5,7,1,8,9,8,Right
1,0,1,2,6,7,7,8,8,8,Right
5,7,2,7,2,3,0,9,10,7,Right
2,6,0,6,6,2,2,7,7,10,Right
3,5,7,1,0,5,6,8,8,9,Right
6,0,2,6,6,2,4,9,7,8,Right
5,5,2,5,5,0,0,9,9,8,Right
4,6,1,5,7,4,1,7,9,9,Right
2,2,1,1,3,4,0,8,8,9,Right
4,2,3,3,2,1,0,9,8,10,Right
1,7,1,5,2,1,4,7,9,9,Right
2,7,6,1,5,1,0,10,7,9,Right
4,1,5,3,2,2,6,9,10,9,Right
2,7,4,1,6,4,3,8,7,10,Right
6,4,5,1,3,5,3,8,8,10,Right
6,4,9,1,3,8,3,2,4,4,MrBrown
