@relation 'marketbasket-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-15,18-24,27-28,30-33,35-37,39-44,46-47,49-69,72-75,77-89,91-124,127-129,134-141,143-153,155-159,162-164,166-174,176,178-181,183-184,186-196,198-201,203-213,215-232,234-236,238,240,242-244,246-260,262-265,267-269,272-273,277-283,285,288-291,293-294,296,298-301-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R1'
@attribute ' Lemons' {f,t}
@attribute ' Standard coffee' {f,t}
@attribute ' Frozen Chicken Wings' {f,t}
@attribute ' 98pct. Fat Free Hamburger' {f,t}
@attribute ' Sugar Cookies' {f,t}
@attribute ' Onions' {f,t}
@attribute ' Vanilla Ice Cream' {f,t}
@attribute ' Potato Chips' {f,t}
@attribute ' Cheese Crackers' {f,t}
@attribute ' Chocolate Bar' {f,t}
@attribute ' Sugar' {f,t}
@attribute ' Decaf Coffee' {f,t}
@attribute ' Red Wine' {f,t}
@attribute ' Lettuce' {f,t}
@attribute ' Frozen Cheese Pizza' {f,t}
@attribute ' Dog Food' {f,t}
@attribute ' Cat Food' {f,t}
@attribute ' Plums' {f,t}
@attribute ' Vegetable Soup' {f,t}
@attribute ' 2pct. Milk' {f,t}
@attribute ' Daily Newspaper' {f,t}
@attribute ' Tomatoes' {f,t}
@attribute ' Vegetable Oil' {f,t}
@attribute ' Chicken Soup' {f,t}
@attribute ' Eggs' {f,t}
@attribute ' White Bread' {f,t}
@attribute ' Cola' {f,t}
@attribute ' Apples' {f,t}
@attribute ' Regular Hamburger' {f,t}
@attribute ' Frozen Carrots' {f,t}
@attribute ' Microwave Popcorn' {f,t}
@attribute ' Blueberry Bagels' {f,t}
@attribute ' French Roast Coffee' {f,t}
@attribute ' Black-eyed Peas' {f,t}
@attribute ' Canned Tuna' {f,t}
@attribute ' Hamburger Buns' {f,t}
@attribute ' Cheese' {f,t}
@attribute ' Popcorn' {f,t}
@attribute ' Sweet Relish' {f,t}
@attribute ' Cheese Dip' {f,t}
@attribute ' Corned Beef' {f,t}
@attribute ' Whole Milk' {f,t}
@attribute ' Muffins' {f,t}
@attribute ' Baked Beans' {f,t}
@attribute ' Cream Cheese' {f,t}
@attribute ' Grapefruit Juice' {f,t}
@attribute ' Chicken Legs' {f,t}
@attribute ' Regular Coffee' {f,t}
@attribute ' Cookies' {f,t}
@attribute ' Aspirin' {f,t}
@attribute ' Sweet Potatoes' {f,t}
@attribute ' Strawberry Waffles' {f,t}
@attribute ' Green Beans' {f,t}
@attribute ' Imported Beer' {f,t}
@attribute ' Small Eggs' {f,t}
@attribute ' Silver Cleaner' {f,t}
@data
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,t,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?
?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?
?,?,?,t,t,?,?,t,?,?,?,?,?,t,?,t,?,t,t,?,?,t,?,?,t,t,?,t,t,?,t,?,?,?,t,?,t,?,t,t,t,t,t,t,?,?,?,?,?,?,?,?,?,?,?,?
